sentence,splitset_label
both awful and appealing ,2
the lack of opposing viewpoints soon grows tiresomethe film feels more like a series of toasts at a testimonial dinner than a documentary ,2
nothing plotwise is worth emailing home about ,2
we are left with a superficial snapshot thathowever engagingis insufficiently enlightening and inviting ,2
helmer devitoattempts to do too many things in this story about ethicspayolavicemurderkidstv and revenge ,2
it would nt be my preferred way of spendingminutes or ,2
i hated every minute of it ,2
lrb t rrb hose same extremes prevent us from taking its message seriouslyand the stepford wives mentality does nt work in a modern context ,2
obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold ,2
the movie will reach far beyond its core demographic ,2
thereno mistaking the fact that this hybrid misses the impact of the disney classicand even that of the excellentmgm version ,2
a simplesometimes maddeningly slow film that has just enough charm and good acting to make it interestingbut is ultimately pulled under by the pacing and lack of creativity within ,2
roger michellwho did an appealing job directing persuasion and notting hill in englandgets too artsy in his american debut ,2
there is an almost poignant dimension to the way that every major stunt seagalcharacterperforms is shot from behindas if it could fool us into thinking that we re not watching a double ,2
anthony hopkins ,2
big deal ,2
we ve already seen the prequel to the silence of the lambs and hannibaland it was better the first time ,2
ostensibly celebrates middleaged girl powereven as it presents friendship between women as patheticdysfunctional and destructive ,2
if this is an example of the type of project that robert redfordlab is willing to lend its imprimatur tothen perhaps ittime to rethink independent films ,2
pumpkin sits in a patch somewhere between mirthless todd solondzian satire and callow student film ,2
not so much funny as aggressively sitcomcuteitfull of throwaway onelinersnotquite jokesand a determined tv amiability that allen personifies ,2
itnot that waiting for happiness is a bad filmbecause it is nt ,2
itjust incredibly dull ,2
the sad thing about knockaround guys is its lame aspiration for grasping the coolness vibes when in fact the film is nt as flippant or slick as it thinks it is ,2
a cumbersome and clicheridden movie greased with every emotional device known to man ,2
director ferzan ozpetek creates an interesting dynamic with the members of this groupwho live in the same apartment building ,2
but he loses his focus when he concentrates on any single person ,2
egoyanmovie is too complicated to sustain involvementandif you ll excuse a little critical heresytoo intellectually ambitious ,2
it wants to be thought of as a subversive little indie filmbut it has all the qualities of a modern situation comedy ,2
despite apparent motives to the contraryit ends up beinglike lrb seinfeldrrb revered tv showabout pretty much nothing ,2
shadyac shoots his film like an m night shyamalan movieand he frequently maintains the same snailpacehe just forgot to add any genuine tension ,2
plays less like a comingofage romance than an infomercial ,2
there are a few laughs and clever sight gags scattered aboutbut not enough to make this anything more than another bigbudget bust ,2
the storyso preposterous that i did nt believe it for a seconddespite the best efforts of everyone involved ,2
i ve heard that the fans of the first men in black have come away hating the second one ,2
i wonder why ,2
they felt like the same movie to me ,2
despite her relentless vim and winsome facial symmetrywitherspoon is just too dialedup to be americasweetheart ,2
an ultralowbudget indie debut that smacks more of good intentions than talent ,2
birot is a competent enough filmmakerbut her story has nothing fresh or very exciting about it ,2
de niro and mcdormand give solid performancesbut their screen time is sabotaged by the storyinability to create interest ,2
even those of a single digit age will be able to recognize that this story is too goofyeven for disney ,2
that is essentially whatmissing from blackboardsthe sense of something biggersome ultimate point ,2
a compendium of solondzown worst instincts in underminutes ,2
if the title is a jeopardy questionthen the answer might behow does steven seagal come across these days,1
or maybehow will you feel after an minute ripoff of the rock with action confined to slomo gun firing and random glassshattering,1
it is a comedy thatnot very funny and an action movie that is not very thrilling lrb and an uneasy allianceat that rrb ,2
the story is familiar from its many predecessorslike themit eventually culminates in the notexactlystunning insight that crime does nt pay ,2
you ll have more fun setting fire to yourself in the parking lot ,2
you ll be more entertained getting hit by a bus ,2
dissing a bond movie is quite like calling a dog stupidbut when it has the temerity to run over two hoursyou feel like winding up with a kick ,2
ritchietreatment of the class reversal is majorly hamfistedfrom the repetitive manifestos that keep getting thrown in peoplefaces to the fact amber is such a joke ,2
flatbut with a revelatory performance by michelle williams ,2
little more than a frothy vanity project ,2
the film goes from being an unusual scifi character study to a chase flick that detracts from its ending ,2
verbinski substitutes atmosphere for actiontedium for thrills ,2
for all its surface frenzyhigh crimes should be charged with loiteringso much on viewso little to offer ,2
the sum of all fears is almost impossible to followand theresomething cringeinducing about seeing an american football stadium nuked as pop entertainment ,2
alex nohedocumentary plays like a travelogue for what mostly resembles a reallifebigbudget nc version of tank girl ,2
the title trapped turns out to be a pretty fair description of how you feel while you re watching this ultramanipulative thriller ,2
the appeal of the vulgarsexistracist humour went over my head orconsidering just how low brow it isperhaps it snuck under my feet ,1
the story really has no place to go since simone is not realshe ca nt provide any conflict ,1
ihops do nt pile on this much syrup ,2
for the most parti spy was an amusing lark that will probably rank as one of murphybetter performances in one of his lesserpraised movies ,2
focuses on joanraging hormones and sledgehammers the audience with spanish inquisitions about hermadnessso much that i became mad that i wastedminutes and on this st century torture device ,2
this series should have died long agobut they keep bringing it back another day as punishment for paying money to see the last james bond movie ,2
a bit of an unwieldy mess ,2
with a story as bizarre and mysterious as thisyou do nt want to be worrying about whether the ineffectual broomfield is going to have the courage to knock on that door ,2
the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent pointunless itthat life stinksespecially for sensitive married women who really love other women ,2
the movie feels like itgoing to be greatand it carries on feeling that way for a long timebut takeoff just never happens ,2
a gimmick in search of a moviehow to get carvey into as many silly costumes and deliver as many silly voices as possibleplot mechanics be damned ,2
 the last time i saw a theater full of people constantly checking their watches was during my sats ,2
 fifty minutes of tedious adolescent melodramatics followed by thirtyfive minutes of inflated nonsense ,2
 lacks the punch and verve needed to make this genre soar ,2
itoften faintly amusingbut the problems of the characters never become important to usand the story never takes hold ,2
ittoughastringentdarkly funny andwellitalso genericuntidycondescending and mild of impact rather than stunning ,2
largely a forfans artifact ,2
thereno denying the elaborateness of the artistconceptionsnor his ability to depict them with outrageous elanbut really the whole series is so much pretentious nonsenselavishly praised by those who equate obscurity with profundity ,2
characters wander into predictably treacherous situations even though they should know better ,2
thereplenty of style in guillermo del torosequel to thehit but why do we needminutes to tell a tale that simply ca nt sustain more thanminutes ,2
lrb i rrb f you ve been to more than one indie flick in your lifechances are you ve already seen this kind of thing ,2
firsttime director joo pedro rodriguesunwillingness to define his herobackground or motivations becomes more and more frustrating as the film goes on ,1
no reason for anyone to invest their hardearned bucks into a movie which obviously did nt invest much into itself either ,2
a strong first quarterslightly less so second quarterand average second half ,2
a boringwincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over agescreaming from the theater ,2
the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its funtoward the endyou can feel your veins cringing from the workout ,2
when the first few villians are introduced asspiderandsnakeyou know you re in for a real winnercreativity at its peak ,2
an afterschool special without the courage of its convictions ,2
the final result makes for adequate entertainmenti supposebut anyone who has seen chicago on stage will leave the theater feeling they ve watched nothing but a pale imitation of the real deal ,2
lrb director rrb byler may yet have a great movie in himbut charlotte sometimes is only half of one ,2
so few movies explore religion that itdisappointing to see one reduce it to an idea that fits in a sampler ,2
italso clear from the start that the transporter is running purely on adrenalineand once the initial high wears offthe filmshortcomings start to shine through ,2
watching it is rather like viewing a long soap opera in which only the first episode was any good ,2
itfunbut a psychological messwith austin powers bumping his head on the way out of the closet ,2
there are touching moments in etoilesbut for the most part this is a dulldour documentary on what ought to be a joyful or at least fascinating subject ,2
could the whole plan here have been to produce something that makes fatal attraction look like a classic by comparison ,2
thatthe only sane rationale i can think of for swimfanexistence ,2
i did nt laugh at the ongoing efforts of cubeand his skinny buddy mike eppsto make like laurel and hardy n the hood ,2
the only way this supernatural snorefest could give anyone a case of the frights is if they were put to sleep by the movie and had a nightmare ,2
i wonder what the reaction of israelis will be to this supposedly evenhanded presentation ,2
the film would work much better as a video installation in a museumwhere viewers would be free to leave ,2
immediately ,2
human nature initially succeeds by allowing itself to go crazybut ultimately fails by spinning out of control ,2
lrb itrrb a prison soccer movie starring charismatic tough guy vinnie jonesbut it had too much spitting for me to enjoy ,2
not even the hanson brothers can save it,2
the thriller side of this movie is falling flatas the stalker does nt do much stalkingand no cop or lawyer grasps the concept of actually investigating the case ,2
 lrb a rrb strained comedy that jettisons all opportunities for rock to make his mark by serving up the usual chaotic nonsense ,2
a sournasty offering ,2
feels like one of those contrivedonlyinhollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk ,2
obstacles are too easily overcome and there is nt much in the way of character development in the script ,2
it tells more than it shows ,2
earnest falls short of its ideal predecessor largely due to parkerilladvised meddling with the timeless source material ,2
the film might have been more satisfying if it hadin factbeen fleshed out a little more instead of going for easy smiles ,2
pretentious editing ruins a potentially terrific flick ,2
not every animated film from disney will become a classicbut forgive me if i ve come to expect more from this studio than some minute afterschoolcartoon,2
do notunder any circumstancesconsider taking a child younger than middle school age to this wallow in crude humor ,2
nothing debases a concept comedy quite like the grinding of bad ideasand showtime is crammed full of them ,2
muchanticipated and ultimately lackluster movie ,2
this is really just another genre picture ,2
each story on its own could have been expanded and worked into a compelling single featurebut in its current incarnationstorytelling never quite gets over its rather lopsided conception ,2
william shatneras a pompous professoris the sole bright spot ,2
a trite psychological thriller designed to keep the audience guessing and guessingwhich is not to be confused with suspectinguntil it comes time to wrap things up and send the viewers home ,2
neither funny nor suspenseful nor particularly welldrawn ,2
actingparticularly by tamboralmost makesnever againworthwhilebut lrb writerdirector rrb schaeffer should follow his titular advice,2
both stars manage to be funnybutlike the recent i spythe star chemistry begs the question of whether random gags add up to a movie ,2
 collateral damagegoes by the numbers and reps decent action entertainmentuntil the silly showdown ending that forces the viewer to totally suspend disbelief,2
 enigmais a good name for a movie this delibrately obtuse and unapproachable ,2
a waste of good performances ,2
a drearyincoherentselfindulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hoursa cacophony of pretentiousmeaningless prattle ,2
i kept thinking over and over again i should be enjoying this,2
but i was nt ,2
as conceived by mr schaefferchristopher and grace are little more than collections of quirky traits lifted from a screenwriteroutline and thrown at actors charged with the impossible task of making them jell ,2
like so many other allegedly scary moviesit gets so tangled up in the twist that it chokes the energy right out of the very audience it seeks to frighten ,2
the essential problem in orange county is thathaving created an unusually vivid set of characters worthy of its strong castthe film flounders when it comes to giving them something to do ,2
just like hearstenormous yachtitslow and unwieldy and takes a long time to reach its destination ,2
there is not a character in the movie with a shred of plausibilitynot an event that is believablenot a confrontation that is not stagednot a moment that is not false ,2
where last time jokes flowed out of cholife storywhich provided an engrossing dramatic through linehere the comedian hides behind obviously constructed routines ,2
why come up with something even quasioriginalwhen you can pillage from shirley jacksonrichard mathesonand puke up something like rose red ,2
a broadly playedlowbrow comedy in which the cast delivers mildly amusing performances and no farm animals were injured by any of the gags ,2
 too gory to be a comedy and too silly to be an effective horror film ,2
lacks heartdepth andmost of allpurpose ,2
though a bit of a patchwork in script and productiona glossyrich greenenvironment almost makes the picture work ,2
perfectly enjoyableinstantly forgettablenothing to write home about ,2
wasabi is slight fare indeedwith the entire project having the feel of something tossed off quickly lrb like one of hubertpunches rrbbut it should go down smoothly enough with popcorn ,2
somehow both wildly implausible and strangely conventional ,2
this illfitting tuxedo is strictly offtherack ,2
the premise is in extremely bad tasteand the filmsupposed insights are so poorly thoughtout and substancefree that even a high school senior taking his or her first psychology class could dismiss them ,2
sets up a nice concept for its fiftysomething leading ladiesbut fails loudly in execution ,2
kidman is really the only thing thatworth watching in birthday girla film by the stagetrained jez butterworth lrb mojo rrb that serves as yet another example of the sad decline of british comedies in the postfull monty world ,2
imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you ve imagined the ring ,2
this time kaufmanimagination has failed him ,2
an intermittently pleasing but mostly routine effort ,2
it becomes gimmicky instead of compelling ,2
 interviewloses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into ,1
 unfaithfulcheats on itself and retreats to comfortable territory ,1
too bad ,1
frenetic but not really funny ,2
taken individually or collectivelythe stories never add up to as much as they promise ,2
if you re not a prepubescent girlyou ll be laughing at britney spearsmoviestarring debut whenever it does nt have you impatiently squinting at your watch ,2
a didactic and dull documentary glorifying software anarchy ,2
sluggishly directed by episodic tv veteran joe zwickita sitcom without the snapcrackle ,2
you could nap for an hour and not miss a thing ,2
director clare kilnerdebut is never as daft as it should have been ,2
new best friend should nt have gone straight to videoit should have gone straight to a mystery science theatervideo ,2
wallace seems less like hebeen burning to tell a war story than hebeen itching to somehow tack one together,2
the thrill is lrb long rrb gone ,2
began life as a computer gamethen morphed into a moviea bad oneof course ,2
part comedypart dramathe movie winds up accomplishing neither in fulland leaves us feeling touched and amused by several moments and ideasbut nevertheless dissatisfied with the movie as a whole ,2
godawful boring slug of a movie ,2
dullif not devoid of witthis shaggy dog longs to frisk through the back alleys of historybut scarcely manages more than a modestsnoozy charm ,2
scenebyscenethings happenbut you d be hardpressed to say what or why ,2
 an unimaginativenastyglibly cynical piece of work ,2
it isby conventional standardsa fairly terrible moviebut it is also weirdly fascinatinga readymade eurotrash cult object ,2
it is alsoat timescuriously moving ,2
the tugofwar at the core of beijing bicycle becomes weighed down with agonizing contrivancesoverheated pathos and longwistful gazes ,2
vile and tacky are the two best adjectives to describe ghost ship ,2
some decent actors inflict big damage upon their reputations ,2
being author wellsgreatgrandsonyou d think filmmaker simon wells would have more reverence for the material ,2
but this costly dud is a far cry from either the book or the beloved film ,2
offensive in the way it exploits the hotbutton issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardytreating her as little more than a prop to be cruelly tormented ,2
mark me down as a nonbeliever in werewolf films that are not serious and rely on stupidity as a substitute for humor ,2
thoughtlessrandomsuperficial humour and a lot of very bad scouse accents,1
aspires for the piquant but only really achieves a sort of ridiculous sourness ,2
accuracy and realism are terrificbut if your film becomes boringand your dialogue is nt smartthen you need to use more poetic license ,2
for all its highfalutin title and corkscrew narrativethe movie turns out to be not much more than a shaggy human tale ,2
a soggyclichebound epichorror yarn that ends up being even dumber than its title ,2
one groaninducing familiarity begets another ,2
although based on a reallife personjohnin the movieis a rather dull person to be stuck with for two hours ,2
great storybad idea for a movie ,2
with spy kids the island of lost dreams writerdirectorproducer robert rodriguez has cobbled together a film that feels like a sugar high gone awry ,2
there is no entry portal in the rules of attractionand i spent most of the movie feeling depressed by the shallowselfishgreedy characters ,2
ithard to tell with all the crashing and banging where the salesmanship ends and the movie begins ,2
 my godi m behaving like an idiot,2
yesyou areben kingsley ,2
a dreadful liveaction movie ,2
divertingly ridiculousheadbangingly noisy ,2
an earnest racialissues picture that might have gotten respectful critical praise in a different erasaythe s ,2
a hideousconfusing spectacleone that may well put the nail in the coffin of any future rice adaptations ,2
all i can say is fuhgeddaboutit ,2
between bedroom scenesviewers may find themselves wishing they could roll over and take a nap ,2
if you collected all the moments of coherent dialoguethey still would nt add up to the time required to boil a fourminute egg ,2
despite all the talkingby the time the bloody climax arrives we still do nt feel enough of an attachment to these guys to care one way or another ,2
every bit as bogus as most disney live action family movies areno real plotno real conflictno real point ,2
a sensual performance from abbass buoys the flimsy storybut her inner journey is largely unexplored and we re left wondering about this exoticlooking woman whose emotional depths are only hinted at ,2
never engagingutterly predictable and completely void of anything remotely interesting or suspenseful ,2
spousal abuse is a major problem in contemporary societybut the film reduces this domestic tragedy to florid melodrama ,2
oedekerk wrote patch adamsfor which he should not be forgiven ,2
why he was given free reign over this projecthe wrotedirectedstarred and producedis beyond me ,2
the creakingrusty ship makes a fine backdropbut the ghostshaunting is routine ,2
whatever eyrefailings as a dramatisthe deserves credit for bringing audiences into this hard and bitter place ,2
scotlandpa blurs the line between black comedy and black hole ,2
it tries too hardand overreaches the logic of its own world ,2
the whole damn thing is ripe for the jerry springer crowd ,2
itall pretty cynical and condescendingtoo ,2
i cry for i spyor i would if this latest and laziest imaginable of all vintagetv spinoffs were capable of engendering an emotional response of any kind ,2
a boringformulaic mix of serial killers and stalk n slash ,2
what you would end up with if you took orwellbradburykafkageorge lucas and the wachowski brothers and threw them into a blender ,2
but thatjust the problem with itthe director has nt added enough of his own ingredients ,2
with recent tensions rekindled by the kathleen soliah trial and the upcoming trial of sla members emily and william harrisnot to mention sept its difficult these days to appreciate firebright side ,2
flaunts its quirky excesses like a new yeareve drunk sporting a paper party hat ,2
writhing under dialogue likeyou re from two different worldsandtonight the maid is a lie and thisthis is who you are this schlockfilled fairy tale hits new depths of unoriginality and predictability ,2
 too slowtoo boringand occasionally annoying ,2
is there enough material to merit a documentary on the making of wilcolast album ,2
faultlessly professional but finally slight ,2
schmaltzy and unfunnyadam sandlercartoon about hanukkah is numbingly badlittle nicky bad worst list bad ,2
itreally yet another anemic and formulaic lethal weaponderived buddycop movietrying to pass off its lack of imagination as hip knowingness ,2
scotlandpa is a strangely drab romp ,2
some studio pizazz might have helped ,2
when perry fists a bull at the moore farmitonly a matter of time before he gets the upper hand in matters of the heart ,2
theremore scatological action incrazy nights than a proctologist is apt to encounter in an entire career ,2
too loudtoo long and too frantic by halfdie another day suggests that the bond franchise has run into a creative wall thatcan not fly overtunnel under or barrel through ,2
the cartoon is about as true to the spirit of the festival of lights as mr deeds was to that of frank capra ,2
 the sum of the parts equals largely a confused mediocrity ,2
the tone shifts abruptly from tense to celebratory to soppy ,2
if we do nt demand a standard of quality for the art that we choosewe deserve the trash that we get ,2
a modest and messy metaphysical thriller offering more questions than answers ,2
julia is played with exasperating blandness by laura regan ,2
morrissettescript and direction show a fair amount of intelligence and witbut it does nt signify a whole lot either ,2
theresuspension of disbelief and then therebad screenwritingthis film packs a wallop of the latter ,2
all ms jovovichas the sanctified heroinehas to do is look radiantgrimly purposeful and mildly alarmed while forcing open doorswielding wrenches and fleeing monsters ,2
mocking kung fu pictures when they were a staple of exploitation theater programming was witty ,2
mocking them now is an exercise in pointlessness ,2
this is a particularly toxic little bonbonpalatable to only a chosen and very jaundiced few ,2
this is nt just the cliffsnotes version of nicholas nicklebyitthe cliffsnotes with pages missing ,2
considering the harsh locations and demanding stuntsthis must have been a difficult shootbut the movie proves rough going for the audience as well ,2
better at putting you to sleep than a sound machine ,2
so clichd thatat one pointthey literally upset an apple cart ,2
ita decent glimpse into a time periodand an outcastthat is no longer accessiblebut it does nt necessarily shed more light on its subject than the popular predecessor ,2
it might be the first scifi comedy that could benefit from a threecompanystyle laugh track ,2
when the plot kicks inthe film loses credibility ,2
credibility sinks into a mire of sentiment ,2
the movie takes itself too seriously andas a resultit makes for only intermittent fun ,2
lrb davis rrb has a brightchipper style that keeps things movingwhile never quite managing to connect her wishfulfilling characters to the human race ,2
does nt amount to much of anything ,2
bullockcomplete lack of focus and ability quickly derails the film,2
so stupidso illconceivedso badly drawnit created whole new levels of ugly ,2
the truth is that the truth about charlie gets increasingly tiresome ,2
enduring love but exhausting cinema ,2
some of seagalaction pictures are guilty pleasuresbut this one is so formulaic that it seems to be on autopilot ,2
a ponderous meditation on love that feels significantly longer than its relatively scantminutes ,2
a longwinded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been ,2
a little too pat for its own good ,2
there are films that try the patience of even the most cinemabesotted criticand this was one of them ,2
watching trouble every dayat least if you do nt know whatcomingis like biting into what looks like a juicydelicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms ,2
wellintentioned though it may beits soapopera morality tales have the antisepticpreprogrammed feel of an afterschool special ,2
what would jesus do if he was a film director ,2
he d create a movie better than this ,2
when a set of preshooting guidelines a director came up with for his actors turns out to be clevererbetter written and of considerable more interest than the finished filmthata bad sign ,2
a very bad sign ,2
ita deeply serious movie that cares passionately about its subjectbut too often becomes ponderous in its teaching of historyor lost in the intricate connections and multiple timelines of its story ,2
ca nt kick about the assembled talent and the russos show genuine promise as comic filmmakers ,2
stillthis thing feels flimsy and ephemeral ,2
diane lane shines in unfaithful ,2
almost everything else is wan ,2
i m afraid you wo nt get through this frankly fantastical bythenumbers bflick with just a suspension of disbelief ,2
ratheryou ll have to wrestle disbelief to the ground and then apply the chloroformsoaked handkerchief ,2
so relentlessly wholesome it made me want to swipe something ,2
the title helpfully offers the most succinct review of it you ll read anywhere ,2
the makers of divine secrets of the yaya sisterhood should offer a free ticket lrb second prizeof coursetwo free tickets rrb to anyone who can locate a genuinely honest moment in their movie ,2
god help the poor woman if attal is this insecure in real lifehis fictional yvanneuroses are aggravating enough to exhaust the patience of even the most understanding spouse ,2
letcut to the consumeradvice bottom linestay home ,2
undercover brother does nt go far enough ,2
itjust a silly black genre spoof ,2
the filmimplicit premise is that the faith of the tonga people is in every way inferior to that of john ,2
rates anefor effortand abfor boring ,2
you ve already seen heartbreak if you ve watched the far superior nurse betty or sunset boulevard ,2
even the unwatchable soapdish is more original ,2
plays like one of those conversations that comic book guy onthe simpsonshas ,1
a journey thattoo random and inconclusive to be compellingbut which hoffmanbrilliance almost makes worth taking ,2
the movie bounces all over the map ,2
but buying into sham truths and routineindiefilmmakingfreundlich has made just another safe movie ,2
itnot horriblejust horribly mediocre ,2
not always too whimsical for its own good lrb but enough to do harm rrbthis strange hybrid of crime thrillerquirky character studythirdrate romance and female empowerment fantasy never really finds the tonal or thematic glue it needs ,2
 juwanna mann,1
no thanks ,1
wewannour money backactually ,1
ita sometimes interesting remake that does nt compare to the brilliant original ,2
you re too conscious of the effort it takes to be this spontaneous ,2
feel bad for kingwhohonestly tryingand schwartzmanwhoshot himself in the foot ,2
some actors steal scenes ,2
tom green just gives them a bad odor ,2
this selfinfatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvardbut hethe most obvious one ,2
sometimesfond memories should stay in the pasta lesson this film teaches all too well ,2
the enormous comic potential of an oafish idiot impersonating an aristocrat remains sadly unrealized ,2
begins as a promising meditation on one of americamost durable obsessions but winds up as a slender cinematic stunt ,2
a monster combat thriller as impersonal in its relentlessness as the videogame series that inspired it ,2
proof that a thriller can be sleekly shotexpertly castpaced with crisp professionalismand still be a letdown if its twists and turns hold no more surprise than yesterdayweather report ,2
the reason we keep seeing the same movie with roughly the same people every year is because so many of us keep going and thenout of embarrassment or stupiditynot warning anyone ,2
therenot much going on in this movie unless you simply decide to buy into the notion that something inexplicably strange once happened in point pleasant ,2
in the second half of the filmfreicontrol loosens in direct proportion to the amount of screen time he gives nachtwey for selfanalysis ,2
director barry skolnick and his screenwriters glibly tick off every point ofthe longest yardplaybook like a checklist ,2
the furious coherence that lrb deniro rrb brings to this part only underscores the fuzzy sentimentality of the movie itselfwhich feelsas it plods toward the endless like a movie than like the filmed reading of a script in need of polishing ,2
ohitextremeall right ,2
extremely dumb ,2
extremely confusing ,2
extremely boring ,2
we never really feel involved with the storyas all of its ideas remain just thatabstract ideas ,2
for a shootemupballistic is oddly lifeless ,2
one minuteyou think you re watching a serious actionerthe nextitas though clips from the pink panther strikes again andor sailor moon have been spliced in ,2
what happened with pluto nash ,2
how did it ever get made ,2
we may never think of band camp as a geeky or nerdy thing again ,2
opens as promising as any waradventure film you ll ever see and dissolves into a routine courtroom dramabetter suited for a movie titledglorya soldierstory,2
the result is solemn and horrifyingyet strangely detached ,2
these spiders can outrun a motorcycle and wrap a person in a sticky cocoon in secondsbut they fall short of being interesting or entertaining ,2
a long slog for anyone but the most committed pokemon fan ,2
matthew mcconaughey triesand failsto control the screen with swaggering machismo and overthetop lunacy ,2
how on earthor anywhere elsedid director ron underwood manage to blow million on this ,2
everyone connected to this movie seems to be part of an insider cliquewhich tends to breed formulaic films rather than fresh ones ,2
with a story inspired by the tumultuous surroundings of los angeleswhere feelings of marginalization loom for every dreamer with a burst bubblethe dogwalker has a few characters and ideasbut it never manages to put them on the same path ,2
its lack of quality earns it a place alongside those other two recent dumas botchjobsthe man in the iron mask and the musketeer ,2
a benign but forgettable scifi diversion ,2
the plot grinds on with yawnprovoking dullness ,2
itnever a good sign when a filmstar spends the entirety of the film in a coma ,2
ita worse sign when you begin to envy her condition ,2
it does nt help that the director and cinematographer stephen kazmierski shoot on grungy videogiving the whole thing a dirtytasteless feel ,2
desperately unfunny when it tries to makes us laugh and desperately unsuspenseful when it tries to make us jump out of our seats ,2
this filmrelationship to actual tension is the same as what christmastree flocking in a spray can is to actual snowa poorif durableimitation ,2
john mctiernanbotched remake may be subtler than norman jewison ultraviolent futuristic corporatesports saga ,2
italso stupider ,2
director dirk shafer and cowriter greg hinton ride the dubious divide where gay porn reaches for serious drama ,2
borrows from so many literary and cinematic sources that this future world feels absolutely deja vu ,2
as lrb the characters rrb get more depressedthe story gets more tiresomeespecially as it continues to mount a conspicuous effort to be profound ,2
the acting by the overs lacks sparkwith csokas particularly unconnected ,2
though howard demonstrates a great eye as a directorthis southern gothic drama is sadly a tough sitwith an undeveloped narrative and enough flashbacks and heavyhanded metaphors to choke a horseor at least slow him down to a canter ,2
falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that are nt funny ,2
the fight scenes are funbut it grows tedious ,2
anyone who can count to five lrb the filmtarget marketrrb,2
can see where this dumbeddown concoction is going ,2
all this turns out to be neither funny nor provocativeonly dull ,2
demmeloose approach kills the suspense ,2
this idea has lost its originalityand neither star appears very excited at rehashing what was basically a onejoke picture ,2
lrb plays rrb in broad outline as pandering middleage buddycomedy ,2
the film is itself a sort of cinematic high crimeone that brings military courtroom dramas down veryvery low ,2
nothing more than a mediocre trifle ,2
